localidad,latitud,longitud,distancia_centro_km,latitud_centro,longitud_centro,estrellas,valoracion_clientes,n_valoraciones,Parking,Parking_gratis,Gimnasio,Restaurante,Piscina,Piscina_interior,Piscina_infinita,Aire,Calefaccion,Vistas,Terraza,Baño_privado,tamaño_habitacion,dias_restantes,precio,tipo_Hotel,mes_disponible
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,38,59,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,39,71,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,40,71,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,41,71,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,42,71,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,44,90,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,45,54,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,46,71,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,47,71,True,6
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,48,71,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,49,71,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,50,90,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,51,90,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,52,59,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,53,72,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,54,72,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,55,72,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,56,72,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,57,86,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,58,86,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,59,59,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,60,72,True,7
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,90,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,91,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,92,117,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,93,117,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,94,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,95,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,96,99,True,8
38,37.25443333310513,-6.945235580205917,0.454,37.257587,-6.9484944,3,8.3,4033,False,False,False,False,False,False,False,True,True,False,False,True,15,97,99,True,8
